0.950, 0.000 585.37646
0.950, 0.100 522.30585
0.950, 0.200 465.25711
0.950, 0.300 413.84384
0.950, 0.400 367.69415
0.950, 0.500 326.48688
0.950, 0.600 289.88766
0.950, 0.700 257.61288
0.950, 0.800 229.38246
0.950, 0.900 204.94670
0.950, 1.000 184.05620
0.950, 1.100 166.49226
0.950, 1.200 152.04324
0.950, 1.300 140.51164
0.950, 1.400 131.71391
0.950, 1.500 125.47729
0.950, 1.600 121.64015
0.950, 1.700 120.05049
0.950, 1.800 120.56651
0.950, 1.900 123.05626
0.950, 2.000 127.39312
0.955, 0.000 564.61237
0.955, 0.100 502.12445
0.955, 0.200 445.74112
0.955, 0.300 395.05804
0.955, 0.400 349.70227
0.955, 0.500 309.32950
0.955, 0.600 273.61893
0.955, 0.700 242.26443
0.955, 0.800 214.99171
0.955, 0.900 191.52858
0.955, 1.000 171.63945
0.955, 1.100 155.08772
0.955, 1.200 141.66417
0.955, 1.300 131.16956
0.955, 1.400 123.41090
0.955, 1.500 118.21625
0.955, 1.600 115.42198
0.955, 1.700 114.87267
0.955, 1.800 116.42504
0.955, 1.900 119.94537
0.955, 2.000 125.30451
0.960, 0.000 542.96899
0.960, 0.100 481.10797
0.960, 0.200 425.43176
0.960, 0.300 375.52826
0.960, 0.400 331.02136
0.960, 0.500 291.55356
0.960, 0.600 256.79327
0.960, 0.700 226.42908
0.960, 0.800 200.17661
0.960, 0.900 177.76724
0.960, 1.000 158.94946
0.960, 1.100 143.48753
0.960, 1.200 131.16467
0.960, 1.300 121.77786
0.960, 1.400 115.13480
0.960, 1.500 111.05792
0.960, 1.600 109.37980
0.960, 1.700 109.94537
0.960, 1.800 112.60742
0.960, 1.900 117.23006
0.960, 2.000 123.68318
0.965, 0.000 520.46973
0.965, 0.100 459.26465
0.965, 0.200 404.34656
0.965, 0.300 355.28500
0.965, 0.400 311.68600
0.965, 0.500 273.18845
0.965, 0.600 239.44647
0.965, 0.700 210.14839
0.965, 0.800 184.99356
0.965, 0.900 163.71263
0.965, 1.000 146.04469
0.965, 1.100 131.75392
0.965, 1.200 120.61343
0.965, 1.300 112.41764
0.965, 1.400 106.97388
0.965, 1.500 104.09531
0.965, 1.600 103.61684
0.965, 1.700 105.37754
0.965, 1.800 109.22901
0.965, 1.900 115.03264
0.965, 2.000 122.65826
0.970, 0.000 497.14160
0.970, 0.100 436.64172
0.970, 0.200 382.52988
0.970, 0.300 334.36545
0.970, 0.400 291.74274
0.970, 0.500 254.28455
0.970, 0.600 221.64008
0.970, 0.700 193.48199
0.970, 0.800 169.51050
0.970, 0.900 149.44276
0.970, 1.000 133.01402
0.970, 1.100 119.97974
0.970, 1.200 110.11266
0.970, 1.300 103.19896
0.970, 1.400 99.04252
0.970, 1.500 97.45411
0.970, 1.600 98.26357
0.970, 1.700 101.30652
0.970, 1.800 106.43667
0.970, 1.900 113.50956
0.970, 2.000 122.39299
0.975, 0.000 473.07660
0.975, 0.100 413.32220
0.975, 0.200 360.06943
0.975, 0.300 312.86200
0.975, 0.400 271.28198
0.975, 0.500 234.94095
0.975, 0.600 203.47180
0.975, 0.700 176.54350
0.975, 0.800 153.84367
0.975, 0.900 135.07982
0.975, 1.000 119.98331
0.975, 1.100 108.30427
0.975, 1.200 99.80533
0.975, 1.300 94.27225
0.975, 1.400 91.49998
0.975, 1.500 91.29961
0.975, 1.600 93.49413
0.975, 1.700 97.92084
0.975, 1.800 104.42256
0.975, 1.900 112.85948
0.975, 2.000 123.09574
0.980, 0.000 448.42377
0.980, 0.100 389.44705
0.980, 0.200 337.10281
0.980, 0.300 290.91052
0.980, 0.400 250.44574
0.980, 0.500 215.29546
0.980, 0.600 185.09117
0.980, 0.700 159.47984
0.980, 0.800 138.14639
0.980, 0.900 120.78751
0.980, 1.000 107.12791
0.980, 1.100 96.90570
0.980, 1.200 89.88428
0.980, 1.300 85.83531
0.980, 1.400 84.55592
0.980, 1.500 85.84924
0.980, 1.600 89.53719
0.980, 1.700 95.45015
0.980, 1.800 103.43172
0.980, 1.900 113.33530
0.980, 2.000 125.02631
0.985, 0.000 423.41632
0.985, 0.100 365.24930
0.985, 0.200 313.85220
0.985, 0.300 268.74014
0.985, 0.400 229.45612
0.985, 0.500 195.58034
0.985, 0.600 166.72464
0.985, 0.700 142.53004
0.985, 0.800 122.66638
0.985, 0.900 106.81647
0.985, 1.000 94.69985
0.985, 1.100 86.04608
0.985, 1.200 80.61263
0.985, 1.300 78.16611
0.985, 1.400 78.49456
0.985, 1.500 81.39854
0.985, 1.600 86.69401
0.985, 1.700 94.20901
0.985, 1.800 103.78334
0.985, 1.900 115.26822
0.985, 2.000 128.52406
0.990, 0.000 398.44003
0.990, 0.100 341.08636
0.990, 0.200 290.67563
0.990, 0.300 246.68738
0.990, 0.400 208.64954
0.990, 0.500 176.12895
0.990, 0.600 148.71138
0.990, 0.700 126.02915
0.990, 0.800 107.73480
0.990, 0.900 93.50710
0.990, 1.000 83.04855
0.990, 1.100 76.08498
0.990, 1.200 72.35999
0.990, 1.300 71.63790
0.990, 1.400 73.69834
0.990, 1.500 78.33659
0.990, 1.600 85.36584
0.990, 1.700 94.60696
0.990, 1.800 105.89770
0.990, 1.900 119.08509
0.990, 2.000 134.02771
0.995, 0.000 374.06619
0.995, 0.100 317.51932
0.995, 0.200 268.10126
0.995, 0.300 225.27654
0.995, 0.400 188.54170
0.995, 0.500 157.43983
0.995, 0.600 131.54686
0.995, 0.700 110.47187
0.995, 0.800 93.85258
0.995, 0.900 81.35679
0.995, 1.000 72.67668
0.995, 1.100 67.52248
0.995, 1.200 65.63434
0.995, 1.300 66.76618
0.995, 1.400 70.69019
0.995, 1.500 77.19765
0.995, 1.600 86.09158
0.995, 1.700 97.19273
0.995, 1.800 110.33142
0.995, 1.900 125.35394
0.995, 2.000 142.11331
1.000, 0.000 351.19812
1.000, 0.100 295.40247
1.000, 0.200 246.95578
1.000, 0.300 205.29993
1.000, 0.400 169.89528
1.000, 0.500 140.26663
1.000, 0.600 115.96585
1.000, 0.700 96.58269
1.000, 0.800 81.73777
1.000, 0.900 71.08208
1.000, 1.000 64.29327
1.000, 1.100 61.07428
1.000, 1.200 61.15215
1.000, 1.300 64.26976
1.000, 1.400 70.19398
1.000, 1.500 78.70592
1.000, 1.600 89.60540
1.000, 1.700 102.70514
1.000, 1.800 117.83206
1.000, 1.900 134.82710
1.000, 2.000 153.54131
1.005, 0.000 331.21109
1.005, 0.100 276.03683
1.005, 0.200 228.48294
1.005, 0.300 187.94937
1.005, 0.400 153.86497
1.005, 0.500 125.72787
1.005, 0.600 103.05873
1.005, 0.700 85.42902
1.005, 0.800 72.43503
1.005, 0.900 63.71233
1.005, 1.000 58.92360
1.005, 1.100 57.75491
