Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: gluc
Parent(s): gluc_026.dat gluc_024.dat gluc_022.dat gluc_020.dat
  8.712520e-02   2.379281e+02   7.821770e+00
  8.985920e-02   1.781082e+02   2.888660e+00
  9.259320e-02   1.528744e+02   2.378370e+00
  9.532730e-02   1.471823e+02   2.170700e+00
  9.806130e-02   1.443414e+02   1.919570e+00
  1.007950e-01   1.555091e+02   1.782440e+00
  1.035290e-01   1.531681e+02   1.625810e+00
  1.062630e-01   1.648041e+02   1.541980e+00
  1.089980e-01   1.573330e+02   1.391700e+00
  1.117320e-01   1.541198e+02   1.322180e+00
  1.144660e-01   1.620031e+02   1.256250e+00
  1.172000e-01   1.522070e+02   1.175270e+00
  1.199340e-01   1.467685e+02   1.108280e+00
  1.226680e-01   1.505762e+02   1.047230e+00
  1.254020e-01   1.564188e+02   9.995140e-01
  1.281360e-01   1.544782e+02   9.726020e-01
  1.308700e-01   1.506420e+02   9.158710e-01
  1.336040e-01   1.557402e+02   8.940030e-01
  1.363380e-01   1.494658e+02   8.463500e-01
  1.390720e-01   1.509556e+02   8.232310e-01
  1.418060e-01   1.522683e+02   7.912250e-01
  1.445400e-01   1.520596e+02   7.735060e-01
  1.472740e-01   1.524831e+02   7.589990e-01
  1.500080e-01   1.517217e+02   7.277160e-01
  1.527420e-01   1.496821e+02   7.156870e-01
  1.554760e-01   1.465381e+02   6.903260e-01
  1.582100e-01   1.496910e+02   6.827320e-01
  1.609440e-01   1.489779e+02   6.613620e-01
  1.636780e-01   1.463594e+02   6.511140e-01
  1.664120e-01   1.472921e+02   6.388990e-01
  1.691460e-01   1.486073e+02   6.238780e-01
  1.718810e-01   1.469293e+02   6.191190e-01
  1.746150e-01   1.453762e+02   6.057770e-01
  1.773490e-01   1.457189e+02   5.964820e-01
  1.800830e-01   1.464852e+02   5.840090e-01
  1.828170e-01   1.427214e+02   5.815640e-01
  1.855510e-01   1.438171e+02   5.733130e-01
  1.882850e-01   1.435312e+02   5.602710e-01
  1.910190e-01   1.436032e+02   5.541760e-01
  1.937530e-01   1.432732e+02   5.507750e-01
  1.964870e-01   1.405496e+02   5.447960e-01
  1.992210e-01   1.413895e+02   5.418130e-01
  2.019550e-01   1.417927e+02   5.291240e-01
  2.046890e-01   1.414163e+02   5.273860e-01
  2.074230e-01   1.372574e+02   5.242690e-01
  2.101570e-01   1.400680e+02   5.211520e-01
  2.128910e-01   1.396134e+02   5.164010e-01
  2.156250e-01   1.359235e+02   5.096330e-01
  2.183590e-01   1.370419e+02   5.116800e-01
  2.210930e-01   1.380324e+02   5.021040e-01
  2.238270e-01   1.351180e+02   5.012450e-01
  2.265610e-01   1.359205e+02   4.979920e-01
  2.292950e-01   1.364260e+02   4.926400e-01
  2.320290e-01   1.340254e+02   4.963010e-01
  2.347640e-01   1.337982e+02   4.887030e-01
  2.374980e-01   1.348127e+02   4.926380e-01
  2.402320e-01   1.320011e+02   4.857680e-01
  2.429660e-01   1.311664e+02   4.823820e-01
  2.457000e-01   1.316057e+02   4.826280e-01
  2.484340e-01   1.311513e+02   4.742780e-01
  2.511680e-01   1.295231e+02   4.753900e-01
  2.539020e-01   1.285661e+02   4.730120e-01
  2.566360e-01   1.294655e+02   4.695890e-01
  2.593700e-01   1.288932e+02   4.670120e-01
  2.621040e-01   1.265347e+02   4.622270e-01
  2.648380e-01   1.264214e+02   4.644040e-01
  2.675720e-01   1.254615e+02   4.576980e-01
  2.703060e-01   1.257080e+02   4.568670e-01
  2.730400e-01   1.245321e+02   4.542120e-01
  2.757740e-01   1.235996e+02   4.486150e-01
  2.785080e-01   1.231719e+02   4.521890e-01
  2.812420e-01   1.228279e+02   4.447140e-01
  2.839760e-01   1.218937e+02   4.433700e-01
  2.867100e-01   1.204985e+02   4.422540e-01
  2.894440e-01   1.193903e+02   4.379060e-01
  2.921780e-01   1.205233e+02   4.371100e-01
  2.949120e-01   1.181426e+02   4.338880e-01
  2.976470e-01   1.170880e+02   4.307130e-01
  3.003810e-01   1.160293e+02   4.295030e-01
  3.031150e-01   1.153745e+02   4.263670e-01
  3.058490e-01   1.148349e+02   4.226260e-01
  3.085830e-01   1.142742e+02   4.214610e-01
  3.113170e-01   1.128025e+02   4.187060e-01
  3.140510e-01   1.122117e+02   4.165080e-01
  3.167850e-01   1.131073e+02   4.142000e-01
  3.195190e-01   1.119043e+02   4.120900e-01
  3.222530e-01   1.102256e+02   4.106810e-01
  3.249870e-01   1.093400e+02   4.070880e-01
  3.277210e-01   1.084273e+02   4.045080e-01
  3.304550e-01   1.079098e+02   4.025430e-01
  3.331890e-01   1.061166e+02   4.016180e-01
  3.359230e-01   1.067222e+02   4.002520e-01
  3.386570e-01   1.060362e+02   3.966670e-01
  3.413910e-01   1.047758e+02   3.932510e-01
  3.441250e-01   1.038678e+02   3.921950e-01
  3.468590e-01   1.038029e+02   3.907910e-01
  3.495930e-01   1.024770e+02   3.897700e-01
  3.523270e-01   1.025230e+02   3.854410e-01
  3.550610e-01   1.015381e+02   3.838140e-01
  3.577950e-01   1.008362e+02   3.816950e-01
  3.605300e-01   1.001754e+02   3.803370e-01
  3.632640e-01   1.000413e+02   3.783980e-01
  3.659980e-01   9.843641e+01   3.740010e-01
  3.687320e-01   9.713864e+01   3.727640e-01
  3.714660e-01   9.619653e+01   3.720140e-01
  3.742000e-01   9.589481e+01   3.683480e-01
  3.769340e-01   9.542294e+01   3.666580e-01
  3.796680e-01   9.575239e+01   3.635060e-01
  3.824020e-01   9.438028e+01   3.617780e-01
  3.851360e-01   9.329810e+01   3.608170e-01
  3.878700e-01   9.255696e+01   3.570070e-01
  3.906040e-01   9.107012e+01   3.560950e-01
  3.933380e-01   8.963999e+01   3.516170e-01
  3.960720e-01   9.023792e+01   3.511100e-01
  3.988060e-01   8.962741e+01   3.481510e-01
  4.015400e-01   8.921035e+01   3.475950e-01
  4.042740e-01   8.903506e+01   3.464600e-01
  4.070080e-01   8.719524e+01   3.422970e-01
  4.097420e-01   8.675667e+01   3.390210e-01
  4.124760e-01   8.586606e+01   3.367450e-01
  4.152100e-01   8.463925e+01   3.335320e-01
  4.179440e-01   8.430599e+01   3.325770e-01
  4.206780e-01   8.250805e+01   3.284140e-01
  4.234130e-01   8.220574e+01   3.273540e-01
  4.261470e-01   8.167729e+01   3.230640e-01
  4.288810e-01   8.123889e+01   3.216590e-01
  4.316150e-01   7.984870e+01   3.196270e-01
  4.343490e-01   7.894144e+01   3.151130e-01
  4.370830e-01   7.780327e+01   3.150690e-01
  4.398170e-01   7.824086e+01   3.100990e-01
  4.425510e-01   7.724564e+01   3.093860e-01
  4.452850e-01   7.635894e+01   3.045620e-01
  4.480190e-01   7.572818e+01   3.036390e-01
  4.507530e-01   7.406818e+01   3.017760e-01
  4.534870e-01   7.449606e+01   2.973720e-01
  4.562210e-01   7.302100e+01   2.960860e-01
  4.589550e-01   7.237820e+01   2.925340e-01
  4.616890e-01   7.141290e+01   2.901850e-01
  4.644230e-01   7.113140e+01   2.889820e-01
  4.671570e-01   7.031830e+01   2.847190e-01
  4.698910e-01   6.941020e+01   2.828540e-01
  4.726250e-01   6.894540e+01   2.807960e-01
  4.753590e-01   6.803330e+01   2.773020e-01
  4.780930e-01   6.777000e+01   2.756970e-01
  4.808270e-01   6.704740e+01   2.729280e-01
  4.835610e-01   6.629060e+01   2.711840e-01
  4.862960e-01   6.560370e+01   2.681490e-01
  4.890300e-01   6.500430e+01   2.662410e-01
  4.917640e-01   6.430160e+01   2.627340e-01
  4.944980e-01   6.365090e+01   2.604240e-01
  4.972320e-01   6.291300e+01   2.583850e-01
  4.999660e-01   6.204180e+01   2.548560e-01
  5.027000e-01   6.157500e+01   2.526490e-01
  5.054340e-01   6.092880e+01   2.504810e-01
  5.081680e-01   6.073820e+01   2.502040e-01
  5.109020e-01   5.993740e+01   2.475380e-01
  5.136360e-01   5.915760e+01   2.438580e-01
  5.163700e-01   5.863360e+01   2.425730e-01
  5.191040e-01   5.823730e+01   2.409670e-01
  5.218380e-01   5.776360e+01   2.392700e-01
  5.245720e-01   5.675660e+01   2.356880e-01
  5.273060e-01   5.642520e+01   2.338990e-01
  5.300400e-01   5.565010e+01   2.317290e-01
  5.327740e-01   5.491000e+01   2.279970e-01
  5.355080e-01   5.468330e+01   2.278980e-01
  5.382420e-01   5.388550e+01   2.253230e-01
  5.409760e-01   5.365120e+01   2.238260e-01
  5.437100e-01   5.258210e+01   2.203880e-01
  5.464450e-01   5.189500e+01   2.173670e-01
  5.491790e-01   5.134560e+01   2.155790e-01
  5.519130e-01   5.036270e+01   2.114030e-01
  5.546470e-01   5.010310e+01   2.110330e-01
  5.573810e-01   4.945400e+01   2.090440e-01
  5.601150e-01   4.895280e+01   2.058390e-01
  5.628490e-01   4.787140e+01   2.024460e-01
  5.655830e-01   4.741180e+01   2.008530e-01
  5.683170e-01   4.678860e+01   1.992270e-01
  5.710510e-01   4.611940e+01   1.959080e-01
  5.737850e-01   4.573890e+01   1.948170e-01
