 19-May-2006       (cal_033.dat - 1.000 *Avrag08.dat) /  5.0530               
cal_033.dat   Conc = .51E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag08.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.810267E-01  0.135425E+03  0.187584E+02
  0.833113E-01  0.175717E+03  0.141372E+02
  0.855958E-01  0.180467E+03  0.121552E+02
  0.878804E-01  0.172749E+03  0.105067E+02
  0.901650E-01  0.167386E+03  0.962613E+01
  0.924495E-01  0.157926E+03  0.865119E+01
  0.947341E-01  0.159648E+03  0.763826E+01
  0.970186E-01  0.158599E+03  0.710429E+01
  0.993032E-01  0.150386E+03  0.662272E+01
  0.101588E+00  0.145320E+03  0.619973E+01
  0.103872E+00  0.138611E+03  0.576284E+01
  0.106157E+00  0.141381E+03  0.529288E+01
  0.108441E+00  0.138947E+03  0.507229E+01
  0.110726E+00  0.138274E+03  0.475463E+01
  0.113011E+00  0.141164E+03  0.447197E+01
  0.115295E+00  0.148169E+03  0.415820E+01
  0.117580E+00  0.140332E+03  0.400461E+01
  0.119864E+00  0.130893E+03  0.393977E+01
  0.122149E+00  0.125925E+03  0.350302E+01
  0.124433E+00  0.123827E+03  0.347127E+01
  0.126718E+00  0.124308E+03  0.324593E+01
  0.129002E+00  0.132298E+03  0.311128E+01
  0.131287E+00  0.126584E+03  0.303475E+01
  0.133572E+00  0.126721E+03  0.278760E+01
  0.135856E+00  0.124488E+03  0.278813E+01
  0.138141E+00  0.131532E+03  0.260010E+01
  0.140425E+00  0.127637E+03  0.255428E+01
  0.142710E+00  0.122258E+03  0.242232E+01
  0.144994E+00  0.123845E+03  0.230776E+01
  0.147279E+00  0.122967E+03  0.231660E+01
  0.149564E+00  0.121470E+03  0.213048E+01
  0.151848E+00  0.124382E+03  0.210719E+01
  0.154133E+00  0.123168E+03  0.199994E+01
  0.156417E+00  0.124510E+03  0.193798E+01
  0.158702E+00  0.124021E+03  0.192145E+01
  0.160986E+00  0.125177E+03  0.179455E+01
  0.163271E+00  0.125294E+03  0.178247E+01
  0.165555E+00  0.121021E+03  0.169419E+01
  0.167840E+00  0.122003E+03  0.166812E+01
  0.170125E+00  0.119988E+03  0.161480E+01
  0.172409E+00  0.125656E+03  0.152539E+01
  0.174694E+00  0.123897E+03  0.155034E+01
  0.176978E+00  0.119822E+03  0.146061E+01
  0.179263E+00  0.118011E+03  0.145488E+01
  0.181547E+00  0.119759E+03  0.138412E+01
  0.183832E+00  0.118237E+03  0.134725E+01
  0.186116E+00  0.122226E+03  0.134357E+01
  0.188401E+00  0.119818E+03  0.127904E+01
  0.190686E+00  0.118193E+03  0.127510E+01
  0.192970E+00  0.119252E+03  0.121896E+01
  0.195255E+00  0.117740E+03  0.119088E+01
  0.197539E+00  0.114767E+03  0.117974E+01
  0.199824E+00  0.117059E+03  0.112708E+01
  0.202108E+00  0.118931E+03  0.113741E+01
  0.204393E+00  0.117734E+03  0.107897E+01
  0.206677E+00  0.118142E+03  0.108309E+01
  0.208962E+00  0.114241E+03  0.105020E+01
  0.211247E+00  0.115300E+03  0.101381E+01
  0.213531E+00  0.116361E+03  0.102116E+01
  0.215816E+00  0.114878E+03  0.979692E+00
  0.218100E+00  0.116032E+03  0.969697E+00
  0.220385E+00  0.114817E+03  0.944455E+00
  0.222669E+00  0.117316E+03  0.928000E+00
  0.224954E+00  0.114779E+03  0.916135E+00
  0.227239E+00  0.114261E+03  0.891213E+00
  0.229523E+00  0.112953E+03  0.881899E+00
  0.231808E+00  0.114203E+03  0.857705E+00
  0.234092E+00  0.114132E+03  0.852846E+00
  0.236377E+00  0.112626E+03  0.833938E+00
  0.238661E+00  0.113347E+03  0.807558E+00
  0.240946E+00  0.113002E+03  0.818806E+00
  0.243230E+00  0.112971E+03  0.785363E+00
  0.245515E+00  0.113709E+03  0.788156E+00
  0.247800E+00  0.112905E+03  0.769876E+00
  0.250084E+00  0.111512E+03  0.748094E+00
  0.252369E+00  0.111534E+03  0.752666E+00
  0.254653E+00  0.110350E+03  0.730005E+00
  0.256938E+00  0.110325E+03  0.736409E+00
  0.259222E+00  0.111371E+03  0.706910E+00
  0.261507E+00  0.110554E+03  0.708956E+00
  0.263791E+00  0.112038E+03  0.697683E+00
  0.266076E+00  0.110940E+03  0.675237E+00
  0.268361E+00  0.111314E+03  0.687501E+00
  0.270645E+00  0.109212E+03  0.662964E+00
  0.272930E+00  0.109325E+03  0.658343E+00
  0.275214E+00  0.109203E+03  0.659767E+00
  0.277499E+00  0.108041E+03  0.637016E+00
  0.279783E+00  0.109502E+03  0.642594E+00
  0.282068E+00  0.109740E+03  0.620045E+00
  0.284353E+00  0.108950E+03  0.626305E+00
  0.286637E+00  0.109865E+03  0.608010E+00
  0.288922E+00  0.106910E+03  0.603354E+00
  0.291206E+00  0.105643E+03  0.602381E+00
  0.293491E+00  0.106081E+03  0.592261E+00
  0.295775E+00  0.108357E+03  0.590956E+00
  0.298060E+00  0.106001E+03  0.577156E+00
  0.300344E+00  0.105482E+03  0.573271E+00
  0.302629E+00  0.105322E+03  0.573413E+00
  0.304914E+00  0.105652E+03  0.562397E+00
  0.307198E+00  0.104909E+03  0.556911E+00
  0.309483E+00  0.103704E+03  0.546809E+00
  0.311767E+00  0.104518E+03  0.546045E+00
  0.314052E+00  0.103164E+03  0.543390E+00
  0.316336E+00  0.103625E+03  0.533372E+00
  0.318621E+00  0.103214E+03  0.534034E+00
  0.320905E+00  0.103539E+03  0.520373E+00
  0.323190E+00  0.103703E+03  0.527868E+00
  0.325475E+00  0.103644E+03  0.513509E+00
  0.327759E+00  0.103259E+03  0.509873E+00
  0.330044E+00  0.103385E+03  0.511313E+00
  0.332328E+00  0.103112E+03  0.504484E+00
  0.334613E+00  0.102397E+03  0.501311E+00
  0.336897E+00  0.101474E+03  0.489254E+00
  0.339182E+00  0.101774E+03  0.491808E+00
  0.341467E+00  0.100943E+03  0.490651E+00
  0.343751E+00  0.100775E+03  0.481016E+00
  0.346036E+00  0.100640E+03  0.484214E+00
  0.348320E+00  0.101014E+03  0.474172E+00
  0.350605E+00  0.100765E+03  0.472399E+00
  0.352889E+00  0.100617E+03  0.466807E+00
  0.355174E+00  0.100119E+03  0.464934E+00
  0.357458E+00  0.101805E+03  0.463921E+00
  0.359743E+00  0.100631E+03  0.456664E+00
  0.362028E+00  0.990168E+02  0.459482E+00
  0.364312E+00  0.995159E+02  0.451095E+00
  0.366597E+00  0.993392E+02  0.447294E+00
  0.368881E+00  0.997849E+02  0.448066E+00
  0.371166E+00  0.993632E+02  0.444387E+00
  0.373450E+00  0.976442E+02  0.441330E+00
  0.375735E+00  0.969066E+02  0.431884E+00
  0.378019E+00  0.966101E+02  0.434881E+00
  0.380304E+00  0.976491E+02  0.430406E+00
  0.382589E+00  0.959681E+02  0.429302E+00
  0.384873E+00  0.960362E+02  0.424564E+00
  0.387158E+00  0.958935E+02  0.421885E+00
  0.389442E+00  0.969086E+02  0.423667E+00
  0.391727E+00  0.956646E+02  0.415845E+00
  0.394011E+00  0.960993E+02  0.414056E+00
  0.396296E+00  0.955183E+02  0.413655E+00
  0.398580E+00  0.957936E+02  0.406873E+00
  0.400865E+00  0.951676E+02  0.412179E+00
  0.403150E+00  0.952066E+02  0.401684E+00
  0.405434E+00  0.946529E+02  0.404595E+00
  0.407719E+00  0.943515E+02  0.401381E+00
  0.410003E+00  0.933618E+02  0.397908E+00
  0.412288E+00  0.933562E+02  0.398330E+00
  0.414572E+00  0.934110E+02  0.389649E+00
  0.416857E+00  0.940346E+02  0.396643E+00
  0.419142E+00  0.931825E+02  0.388874E+00
  0.421426E+00  0.934655E+02  0.387183E+00
  0.423711E+00  0.920831E+02  0.386551E+00
  0.425995E+00  0.917661E+02  0.381049E+00
  0.428280E+00  0.920121E+02  0.384001E+00
  0.430564E+00  0.911001E+02  0.378674E+00
  0.432849E+00  0.916165E+02  0.375636E+00
  0.435133E+00  0.913531E+02  0.377086E+00
