Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: myo
Parent(s): myo_112.dat myo_110.dat myo_108.dat myo_106.dat
  8.712520e-02   5.823132e+00   4.139140e+00
  8.985920e-02   1.835213e+01   1.383900e+00
  9.259320e-02   3.979487e+00   1.120350e+00
  9.532730e-02   1.535165e+01   1.008240e+00
  9.806130e-02   1.658448e+01   8.769370e-01
  1.007950e-01   1.676293e+01   8.004200e-01
  1.035290e-01   1.267984e+01   7.188820e-01
  1.062630e-01   8.714349e+00   6.717700e-01
  1.089980e-01   3.250871e+00   5.925980e-01
  1.117320e-01   1.214578e+01   5.530350e-01
  1.144660e-01   1.124006e+01   5.179280e-01
  1.172000e-01   1.123307e+01   4.769830e-01
  1.199340e-01   1.160161e+01   4.407600e-01
  1.226680e-01   1.090386e+01   4.069000e-01
  1.254020e-01   8.985919e+00   3.833800e-01
  1.281360e-01   6.525788e+00   3.656880e-01
  1.308700e-01   9.070325e+00   3.378480e-01
  1.336040e-01   1.272100e+01   3.238540e-01
  1.363380e-01   7.862944e+00   2.981390e-01
  1.390720e-01   1.013966e+01   2.835880e-01
  1.418060e-01   1.456766e+01   2.658960e-01
  1.445400e-01   1.431495e+01   2.558600e-01
  1.472740e-01   1.181153e+01   2.468550e-01
  1.500080e-01   1.201644e+01   2.288900e-01
  1.527420e-01   1.013663e+01   2.226390e-01
  1.554760e-01   1.242957e+01   2.070500e-01
  1.582100e-01   8.867778e+00   2.025420e-01
  1.609440e-01   9.341048e+00   1.908940e-01
  1.636780e-01   9.535218e+00   1.853850e-01
  1.664120e-01   6.670654e+00   1.770920e-01
  1.691460e-01   1.102677e+01   1.696940e-01
  1.718810e-01   1.140397e+01   1.650460e-01
  1.746150e-01   1.023513e+01   1.567100e-01
  1.773490e-01   9.986934e+00   1.514390e-01
  1.800830e-01   9.076330e+00   1.448260e-01
  1.828170e-01   1.107832e+01   1.422090e-01
  1.855510e-01   9.841928e+00   1.387650e-01
  1.882850e-01   8.533608e+00   1.314220e-01
  1.910190e-01   9.717399e+00   1.273250e-01
  1.937530e-01   1.025154e+01   1.257980e-01
  1.964870e-01   9.570755e+00   1.208320e-01
  1.992210e-01   1.145330e+01   1.191480e-01
  2.019550e-01   9.749859e+00   1.117460e-01
  2.046890e-01   9.918770e+00   1.117180e-01
  2.074230e-01   1.091860e+01   1.085630e-01
  2.101570e-01   1.201635e+01   1.086460e-01
  2.128910e-01   8.823466e+00   1.054430e-01
  2.156250e-01   1.083211e+01   1.018410e-01
  2.183590e-01   1.120764e+01   1.028300e-01
  2.210930e-01   1.125273e+01   9.907800e-02
  2.238270e-01   1.036789e+01   9.726280e-02
  2.265610e-01   9.572640e+00   9.674590e-02
  2.292950e-01   1.075965e+01   9.381640e-02
  2.320290e-01   1.111005e+01   9.490770e-02
  2.347640e-01   1.085649e+01   9.035890e-02
  2.374980e-01   1.035655e+01   9.235660e-02
  2.402320e-01   1.094848e+01   8.928050e-02
  2.429660e-01   1.084164e+01   8.849280e-02
  2.457000e-01   1.026798e+01   8.796870e-02
  2.484340e-01   1.073511e+01   8.347570e-02
  2.511680e-01   1.081454e+01   8.544900e-02
  2.539020e-01   1.016639e+01   8.349010e-02
  2.566360e-01   1.082950e+01   8.236910e-02
  2.593700e-01   1.045148e+01   8.085310e-02
  2.621040e-01   1.014775e+01   7.847340e-02
  2.648380e-01   1.106009e+01   7.967350e-02
  2.675720e-01   1.058237e+01   7.774470e-02
  2.703060e-01   1.058364e+01   7.656700e-02
  2.730400e-01   1.050789e+01   7.633810e-02
  2.757740e-01   1.039357e+01   7.373690e-02
  2.785080e-01   1.037064e+01   7.530440e-02
  2.812420e-01   1.010965e+01   7.229350e-02
  2.839760e-01   9.695121e+00   7.253630e-02
  2.867100e-01   9.041692e+00   7.246280e-02
  2.894440e-01   1.011978e+01   7.032260e-02
  2.921780e-01   1.040265e+01   7.057480e-02
  2.949120e-01   1.023288e+01   6.923070e-02
  2.976470e-01   1.031071e+01   6.891360e-02
  3.003810e-01   9.260338e+00   6.898830e-02
  3.031150e-01   1.003944e+01   6.832000e-02
  3.058490e-01   9.444680e+00   6.709850e-02
  3.085830e-01   1.003523e+01   6.639070e-02
  3.113170e-01   9.436423e+00   6.577900e-02
  3.140510e-01   9.946334e+00   6.596670e-02
  3.167850e-01   9.796193e+00   6.421350e-02
  3.195190e-01   1.013165e+01   6.454970e-02
  3.222530e-01   1.056318e+01   6.426650e-02
  3.249870e-01   1.002561e+01   6.356810e-02
  3.277210e-01   9.784859e+00   6.285800e-02
  3.304550e-01   9.296538e+00   6.268990e-02
  3.331890e-01   1.024957e+01   6.244080e-02
  3.359230e-01   1.014015e+01   6.251000e-02
  3.386570e-01   9.739149e+00   6.143100e-02
  3.413910e-01   9.931295e+00   6.015750e-02
  3.441250e-01   9.522547e+00   6.098500e-02
  3.468590e-01   9.648519e+00   6.031320e-02
  3.495930e-01   9.706617e+00   6.071750e-02
  3.523270e-01   9.680564e+00   5.948220e-02
  3.550610e-01   9.355623e+00   5.907890e-02
  3.577950e-01   9.712612e+00   5.920270e-02
  3.605300e-01   9.620975e+00   5.951350e-02
  3.632640e-01   9.548170e+00   5.935700e-02
  3.659980e-01   9.083605e+00   5.818450e-02
  3.687320e-01   9.705797e+00   5.827010e-02
  3.714660e-01   1.023867e+01   5.926410e-02
  3.742000e-01   9.451964e+00   5.732750e-02
  3.769340e-01   9.202007e+00   5.822020e-02
  3.796680e-01   9.659876e+00   5.756810e-02
  3.824020e-01   9.504098e+00   5.772010e-02
  3.851360e-01   9.084334e+00   5.800240e-02
  3.878700e-01   9.050247e+00   5.670820e-02
  3.906040e-01   9.137138e+00   5.762820e-02
  3.933380e-01   9.375185e+00   5.646600e-02
  3.960720e-01   9.431356e+00   5.684580e-02
  3.988060e-01   9.014976e+00   5.617730e-02
  4.015400e-01   9.499405e+00   5.677150e-02
  4.042740e-01   9.319655e+00   5.684970e-02
  4.070080e-01   8.943782e+00   5.610000e-02
  4.097420e-01   9.654850e+00   5.579410e-02
  4.124760e-01   9.386862e+00   5.561550e-02
  4.152100e-01   9.023567e+00   5.587060e-02
  4.179440e-01   9.111305e+00   5.601580e-02
  4.206780e-01   8.857087e+00   5.488040e-02
  4.234130e-01   9.173533e+00   5.532700e-02
  4.261470e-01   9.284626e+00   5.431040e-02
  4.288810e-01   9.024773e+00   5.503330e-02
  4.316150e-01   8.898277e+00   5.454380e-02
  4.343490e-01   8.980239e+00   5.397100e-02
  4.370830e-01   8.878773e+00   5.471390e-02
  4.398170e-01   9.382820e+00   5.389220e-02
  4.425510e-01   8.864395e+00   5.423830e-02
  4.452850e-01   8.847607e+00   5.319070e-02
  4.480190e-01   8.732527e+00   5.338310e-02
  4.507530e-01   8.928730e+00   5.342820e-02
  4.534870e-01   8.982442e+00   5.304260e-02
  4.562210e-01   9.087725e+00   5.349280e-02
  4.589550e-01   8.538908e+00   5.255370e-02
  4.616890e-01   8.591580e+00   5.310960e-02
  4.644230e-01   8.897299e+00   5.311200e-02
  4.671570e-01   8.721343e+00   5.190750e-02
  4.698910e-01   8.258194e+00   5.275770e-02
  4.726250e-01   8.785391e+00   5.186610e-02
  4.753590e-01   8.891363e+00   5.208190e-02
  4.780930e-01   8.438478e+00   5.134650e-02
  4.808270e-01   8.708419e+00   5.157010e-02
  4.835610e-01   8.620091e+00   5.197140e-02
  4.862960e-01   8.500077e+00   5.137960e-02
  4.890300e-01   8.202558e+00   5.161220e-02
  4.917640e-01   8.531798e+00   5.089790e-02
  4.944980e-01   8.576057e+00   5.082170e-02
  4.972320e-01   8.234661e+00   5.106630e-02
  4.999660e-01   8.436469e+00   5.074160e-02
  5.027000e-01   8.506764e+00   5.022770e-02
  5.054340e-01   8.325016e+00   5.046080e-02
  5.081680e-01   8.337338e+00   5.066180e-02
  5.109020e-01   8.342523e+00   5.061950e-02
  5.136360e-01   8.069362e+00   5.014940e-02
  5.163700e-01   8.590378e+00   5.052880e-02
  5.191040e-01   8.032982e+00   5.028100e-02
  5.218380e-01   8.368879e+00   5.029450e-02
  5.245720e-01   8.204590e+00   4.993140e-02
  5.273060e-01   8.277180e+00   4.960800e-02
  5.300400e-01   8.279250e+00   5.016390e-02
  5.327740e-01   8.219610e+00   4.918370e-02
  5.355080e-01   8.236260e+00   4.974920e-02
  5.382420e-01   8.215240e+00   4.974470e-02
  5.409760e-01   8.240640e+00   4.946470e-02
  5.437100e-01   8.165610e+00   4.948700e-02
  5.464450e-01   8.122670e+00   4.897360e-02
  5.491790e-01   8.072110e+00   4.874430e-02
  5.519130e-01   8.092740e+00   4.857570e-02
  5.546470e-01   8.013890e+00   4.864740e-02
  5.573810e-01   8.006370e+00   4.874610e-02
  5.601150e-01   8.057140e+00   4.795120e-02
  5.628490e-01   7.988640e+00   4.796800e-02
  5.655830e-01   7.979610e+00   4.818060e-02
  5.683170e-01   7.904970e+00   4.804490e-02
  5.710510e-01   7.922150e+00   4.768080e-02
  5.737850e-01   7.916070e+00   4.760950e-02
  5.765190e-01   7.831090e+00   4.736260e-02
  5.792530e-01   7.954420e+00   4.795090e-02
  5.819870e-01   7.876560e+00   4.730260e-02
  5.847210e-01   7.831260e+00   4.752050e-02
  5.874550e-01   7.870160e+00   4.736500e-02
  5.901890e-01   7.802270e+00   4.707510e-02
  5.929230e-01   7.758040e+00   4.737910e-02
  5.956570e-01   7.787510e+00   4.675240e-02
  5.983910e-01   7.780690e+00   4.689650e-02
  6.011250e-01   7.699980e+00   4.680770e-02
  6.038590e-01   7.720150e+00   4.668340e-02
  6.065930e-01   7.683770e+00   4.631100e-02
  6.093280e-01   7.676420e+00   4.655790e-02
  6.120620e-01   7.615860e+00   4.620140e-02
  6.147960e-01   7.597270e+00   4.633770e-02
  6.175300e-01   7.637130e+00   4.588200e-02
  6.202640e-01   7.556460e+00   4.611430e-02
  6.229980e-01   7.599930e+00   4.606380e-02
  6.257320e-01   7.533640e+00   4.571790e-02
  6.284660e-01   7.454900e+00   4.515630e-02
  6.312000e-01   7.487080e+00   4.508130e-02
  6.339340e-01   7.457180e+00   4.563350e-02
  6.366680e-01   7.424510e+00   4.514100e-02
  6.394020e-01   7.400290e+00   4.495450e-02
  6.421360e-01   7.301210e+00   4.447190e-02
  6.448700e-01   7.382820e+00   4.470490e-02
  6.476040e-01   7.353890e+00   4.496580e-02
  6.503380e-01   7.230520e+00   4.447890e-02
  6.530720e-01   7.262460e+00   4.392510e-02
  6.558060e-01   7.264020e+00   4.460470e-02
  6.585400e-01   7.230540e+00   4.373770e-02
  6.612740e-01   7.181920e+00   4.440970e-02
  6.640080e-01   7.156490e+00   4.357280e-02
  6.667420e-01   7.208090e+00   4.370060e-02
  6.694760e-01   7.133770e+00   4.361110e-02
  6.722110e-01   7.075790e+00   4.333920e-02
  6.749450e-01   7.061590e+00   4.366700e-02
  6.776790e-01   7.059370e+00   4.274180e-02
  6.804130e-01   7.028070e+00   4.325740e-02
  6.831470e-01   6.965860e+00   4.311800e-02
  6.858810e-01   6.994950e+00   4.280750e-02
  6.886150e-01   6.950100e+00   4.310390e-02
  6.913490e-01   6.973240e+00   4.258370e-02
  6.940830e-01   6.949080e+00   4.267140e-02
  6.968170e-01   6.893810e+00   4.239960e-02
  6.995510e-01   6.851330e+00   4.183460e-02
  7.022850e-01   6.849000e+00   4.215440e-02
  7.050190e-01   6.862180e+00   4.237510e-02
  7.077530e-01   6.776950e+00   4.212640e-02
  7.104870e-01   6.790280e+00   4.152230e-02
  7.132210e-01   6.757820e+00   4.169520e-02
  7.159550e-01   6.727440e+00   4.165160e-02
  7.186890e-01   6.660980e+00   4.152940e-02
  7.214230e-01   6.738370e+00   4.167710e-02
  7.241570e-01   6.669730e+00   4.119460e-02
  7.268910e-01   6.590340e+00   4.082370e-02
  7.296250e-01   6.608240e+00   4.090500e-02
  7.323590e-01   6.574570e+00   4.077460e-02
  7.350940e-01   6.581340e+00   4.074020e-02
  7.378280e-01   6.507080e+00   4.012280e-02
  7.405620e-01   6.513660e+00   4.046420e-02
  7.432960e-01   6.467840e+00   4.028670e-02
  7.460300e-01   6.400360e+00   3.966270e-02
  7.487640e-01   6.398970e+00   3.970370e-02
  7.514980e-01   6.326820e+00   3.963670e-02
  7.542320e-01   6.334040e+00   3.972390e-02
  7.569660e-01   6.321130e+00   3.935140e-02
  7.597000e-01   6.279690e+00   3.944860e-02
  7.624340e-01   6.295530e+00   3.945660e-02
  7.651680e-01   6.286730e+00   3.945670e-02
  7.679020e-01   6.278830e+00   3.926930e-02
  7.706360e-01   6.244660e+00   3.909710e-02
  7.733700e-01   6.206780e+00   3.925540e-02
  7.761040e-01   6.177740e+00   3.920940e-02
  7.788380e-01   6.142340e+00   3.901080e-02
  7.815720e-01   6.087040e+00   3.863120e-02
  7.843060e-01   6.092630e+00   3.892260e-02
  7.870400e-01   6.072800e+00   3.925730e-02
  7.897740e-01   6.062770e+00   3.895370e-02
  7.925080e-01   6.027470e+00   3.882450e-02
  7.952420e-01   5.999180e+00   3.878150e-02
  7.979770e-01   5.976920e+00   3.872700e-02
  8.007110e-01   5.946900e+00   3.924030e-02
  8.034450e-01   5.904750e+00   3.835130e-02
  8.061790e-01   5.922950e+00   3.894700e-02
  8.089130e-01   5.864000e+00   3.852040e-02
  8.116470e-01   5.853910e+00   3.873170e-02
  8.143810e-01   5.751500e+00   3.805790e-02
  8.171150e-01   5.764820e+00   3.813790e-02
  8.198490e-01   5.746660e+00   3.852640e-02
  8.225830e-01   5.727430e+00   3.829750e-02
  8.253170e-01   5.671640e+00   3.809600e-02
  8.280510e-01   5.703350e+00   3.814130e-02
  8.307850e-01   5.576120e+00   3.749200e-02
  8.335190e-01   5.624350e+00   3.822870e-02
  8.362530e-01   5.618300e+00   3.783580e-02
  8.389870e-01   5.606080e+00   3.774520e-02
  8.417210e-01   5.595620e+00   3.802480e-02
  8.444550e-01   5.508390e+00   3.748230e-02
  8.471890e-01   5.473940e+00   3.758470e-02
  8.499230e-01   5.495220e+00   3.708010e-02
  8.526570e-01   5.364850e+00   3.732550e-02
  8.553910e-01   5.445270e+00   3.737710e-02
  8.581250e-01   5.397890e+00   3.756170e-02
  8.608600e-01   5.376060e+00   3.718400e-02
  8.635940e-01   5.360170e+00   3.690620e-02
  8.663280e-01   5.334680e+00   3.718720e-02
  8.690620e-01   5.276860e+00   3.687090e-02
  8.717960e-01   5.284330e+00   3.688340e-02
  8.745300e-01   5.277410e+00   3.690740e-02
  8.772640e-01   5.276810e+00   3.682470e-02
  8.799980e-01   5.214280e+00   3.674870e-02
  8.827320e-01   5.249590e+00   3.695210e-02
  8.854660e-01   5.182240e+00   3.636620e-02
  8.882000e-01   5.097220e+00   3.633190e-02
  8.909340e-01   5.080690e+00   3.606270e-02
  8.936680e-01   5.055400e+00   3.630050e-02
  8.964020e-01   5.089660e+00   3.629230e-02
  8.991360e-01   5.016610e+00   3.589460e-02
  9.018700e-01   5.005820e+00   3.592990e-02
  9.046040e-01   5.001390e+00   3.614080e-02
  9.073380e-01   4.955310e+00   3.568010e-02
