 19-May-2006       (cal_016.dat - 1.000 *Avrag04.dat) /  6.0250               
cal_016.dat   Conc = .60E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag04.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.810267E-01  0.901245E+02  0.175591E+02
  0.833113E-01  0.801162E+02  0.131957E+02
  0.855958E-01  0.868216E+02  0.113197E+02
  0.878804E-01  0.844315E+02  0.978953E+01
  0.901650E-01  0.940415E+02  0.895260E+01
  0.924495E-01  0.105029E+03  0.805936E+01
  0.947341E-01  0.101643E+03  0.710167E+01
  0.970186E-01  0.978589E+02  0.660223E+01
  0.993032E-01  0.877676E+02  0.614845E+01
  0.101588E+00  0.897759E+02  0.574854E+01
  0.103872E+00  0.944564E+02  0.534704E+01
  0.106157E+00  0.886805E+02  0.490638E+01
  0.108441E+00  0.988548E+02  0.469689E+01
  0.110726E+00  0.956349E+02  0.439713E+01
  0.113011E+00  0.917178E+02  0.413575E+01
  0.115295E+00  0.921328E+02  0.383929E+01
  0.117580E+00  0.920166E+02  0.369692E+01
  0.119864E+00  0.890622E+02  0.364136E+01
  0.122149E+00  0.842822E+02  0.323177E+01
  0.124433E+00  0.867054E+02  0.320251E+01
  0.126718E+00  0.973195E+02  0.299681E+01
  0.129002E+00  0.878888E+02  0.285973E+01
  0.131287E+00  0.815071E+02  0.279137E+01
  0.133572E+00  0.908349E+02  0.256757E+01
  0.135856E+00  0.943154E+02  0.256871E+01
  0.138141E+00  0.820050E+02  0.238118E+01
  0.140425E+00  0.801261E+02  0.234023E+01
  0.142710E+00  0.895386E+02  0.222199E+01
  0.144994E+00  0.841278E+02  0.211260E+01
  0.147279E+00  0.898423E+02  0.212552E+01
  0.149564E+00  0.863087E+02  0.195362E+01
  0.151848E+00  0.817593E+02  0.192631E+01
  0.154133E+00  0.836282E+02  0.182660E+01
  0.156417E+00  0.814589E+02  0.176962E+01
  0.158702E+00  0.822456E+02  0.175565E+01
  0.160986E+00  0.898091E+02  0.163934E+01
  0.163271E+00  0.877610E+02  0.162888E+01
  0.165555E+00  0.875037E+02  0.154646E+01
  0.167840E+00  0.879568E+02  0.152120E+01
  0.170125E+00  0.883784E+02  0.147262E+01
  0.172409E+00  0.849394E+02  0.138733E+01
  0.174694E+00  0.880033E+02  0.141174E+01
  0.176978E+00  0.835751E+02  0.133061E+01
  0.179263E+00  0.837394E+02  0.132405E+01
  0.181547E+00  0.860382E+02  0.126058E+01
  0.183832E+00  0.863004E+02  0.122532E+01
  0.186116E+00  0.838938E+02  0.122094E+01
  0.188401E+00  0.825178E+02  0.116128E+01
  0.190686E+00  0.839751E+02  0.115582E+01
  0.192970E+00  0.832813E+02  0.110332E+01
  0.195255E+00  0.842473E+02  0.108024E+01
  0.197539E+00  0.802888E+02  0.107140E+01
  0.199824E+00  0.822340E+02  0.102355E+01
